species,slowWaveSleep,dreamSleep,sleep,body,brain,life,gestation,is_predation_1,is_predation_2,is_predation_3,is_predation_4,is_sleepExposure_1,is_sleepExposure_2,is_sleepExposure_3,is_sleepExposure_4,is_danger_1,is_danger_2,is_danger_3,is_danger_4
Horse,2.1,0.8,2.9,521,655,46,336,0,0,0,0,0,0,0,0,0,0,0,0
Jaguar,NA,NA,10.8,100,157,22.4,100,1,0,0,0,1,0,0,0,1,0,0,0
Kangaroo,NA,NA,NA,35,56,16.3,33,0,0,1,0,0,0,0,0,0,0,0,1
Lesser_short-tailed_shrew,7.7,1.4,9.1,0.005,0.14,2.6,21.5,0,0,0,0,0,1,0,0,0,0,0,1
Little_brown_bat,17.9,2,19.9,0.01,0.25,24,50,1,0,0,0,1,0,0,0,1,0,0,0
Human,6.1,1.9,8,62,1320,100,267,1,0,0,0,1,0,0,0,1,0,0,0
Mole_rat,8.2,2.4,10.6,0.122,3,NA,30,0,1,0,0,1,0,0,0,1,0,0,0
Mountain_beaver,8.4,2.8,11.2,1.35,8.1,NA,45,0,0,1,0,1,0,0,0,0,0,1,0
Mouse,11.9,1.3,13.2,0.023,0.4,3.2,19,0,0,0,1,1,0,0,0,0,0,1,0
Musk_shrew,10.8,2,12.8,0.048,0.33,2,30,0,0,0,1,1,0,0,0,0,0,1,0
N._American_opossum,13.8,5.6,19.4,1.7,6.3,5,12,0,1,0,0,1,0,0,0,1,0,0,0
Nine-banded_armadillo,14.3,3.1,17.4,3.5,10.8,6.5,120,0,1,0,0,1,0,0,0,1,0,0,0
Okapi,NA,1,NA,250,490,23.6,440,0,0,0,0,0,0,0,0,0,0,0,0
Owl_monkey,15.2,1.8,17,0.48,15.5,12,140,0,1,0,0,0,1,0,0,0,1,0,0
Patas_monkey,10,0.9,10.9,10,115,20.2,170,0,0,0,1,0,0,0,1,0,0,0,1
Phanlanger,11.9,1.8,13.7,1.62,11.4,13,17,0,1,0,0,1,0,0,0,0,1,0,0
Pig,6.5,1.9,8.4,192,180,27,115,0,0,0,1,0,0,0,1,0,0,0,1
Rabbit,7.5,0.9,8.4,2.5,12.1,18,31,0,0,0,0,0,0,0,0,0,0,0,0
Raccoon,NA,NA,12.5,4.288,39.2,13.7,63,0,1,0,0,0,1,0,0,0,1,0,0
Rat,10.6,2.6,13.2,0.28,1.9,4.7,21,0,0,1,0,1,0,0,0,0,0,1,0
Red_fox,7.4,2.4,9.8,4.235,50.4,9.8,52,1,0,0,0,1,0,0,0,1,0,0,0
Rhesus_monkey,8.4,1.2,9.6,6.8,179,29,164,0,1,0,0,0,0,1,0,0,1,0,0
Rock_hyrax_(Hetero._b),5.7,0.9,6.6,0.75,12.3,7,225,0,1,0,0,0,1,0,0,0,1,0,0
Rock_hyrax_(Procavia_hab),4.9,0.5,5.4,3.6,21,6,225,0,0,1,0,0,1,0,0,0,0,1,0
Roe_deer,NA,NA,2.6,14.83,98.2,17,150,0,0,0,0,0,0,0,0,0,0,0,0
Sheep,3.2,0.6,3.8,55.5,175,20,151,0,0,0,0,0,0,0,0,0,0,0,0
Slow_loris,NA,NA,11,1.4,12.5,12.7,90,0,1,0,0,0,1,0,0,0,1,0,0
Star-nosed_mole,8.1,2.2,10.3,0.06,1,3.5,NA,0,0,1,0,1,0,0,0,0,1,0,0
Tenrec,11,2.3,13.3,0.9,2.6,4.5,60,0,1,0,0,1,0,0,0,0,1,0,0
Tree_hyrax,4.9,0.5,5.4,2,12.3,7.5,200,0,0,1,0,1,0,0,0,0,0,1,0
Tree_shrew,13.2,2.6,15.8,0.104,2.5,2.3,46,0,0,1,0,0,1,0,0,0,1,0,0
Vervet,9.7,0.6,10.3,4.19,58,24,210,0,0,0,1,0,0,1,0,0,0,0,1
Water_opossum,12.8,6.6,19.4,3.5,3.9,3,14,0,1,0,0,1,0,0,0,1,0,0,0
Yellow-bellied_marmot,NA,NA,NA,4.05,17,13,38,0,0,1,0,1,0,0,0,1,0,0,0
